COUNTY,STATE,LATITUDE,LONGITUDE,PARK PHOTO,RESTAURANT PHOTO,LIST OF LODGING
Accomack County,Virginia,37.706332,-75.806908,,,
Adair County,Missouri,40.199366,-92.539603,,,
Adams County,Indiana,40.724924,-84.898478,,,
Adams County,Mississippi,31.530535,-91.289104,,,
Adams County,North Dakota,46.059459,-102.51791,,,
Adams County,Pennsylvania,39.852242,-77.286488,,,
Adams County,Mississippi,31.578777,-91.299278,,,
Adams County,Washington,46.927224,-118.51098,,,
Addison County,Vermont,44.119729,-73.164338,,,
Alachua County,Florida,29.657955,-82.301773,,,
Alamance County,North Carolina,36.011739,-79.425378,,,
Albany County,New York,42.57568,-73.935982,,,
Alcorn County,Mississippi,34.898468,-88.595175,,,
Aleutians East,Alaska,55.538801,-161.898854,,,
Aleutians West,Alaska,52.32327,-174.159607,,,
Alexander County,North Carolina,35.89742,-81.207816,,,
Alexandria,Virginia,38.804836,-77.046921,,,
Allamakee County,Iowa,43.243075,-91.443469,,,
Allegan County,Michigan,42.593874,-85.908443,,,
Allegany County,New York,42.312982,-78.019539,,,
Alleghany County,North Carolina,36.494084,-81.119608,https://lh6.googleusercontent.com/-EsRBf-FPZmo/UjdaHgDsbsI/AAAAAAAAERE/0LCWednEPDA/s1600-w400/photo.jpg,https://lh6.googleusercontent.com/-kqzI4XW2eC8/UkIbI78YTaI/AAAAAAAAItw/wlyKrS3xUaM/s1600-w400/photo.jpg,https://lh5.googleusercontent.com/-c1hyTp2fXkQ/U7i9nogC2wI/AAAAAAAA15Q/mFbycYGl070/s1600-w400/photo.jpg
Alleghany County,Virginia,37.853198,-80.053492,,,
Allen County,Indiana,41.093262,-85.023346,,,
Alpena County,Michigan,45.031721,-83.540541,,,
Alpine County,California,38.594074,-119.88152,,,
Amador County,California,38.348892,-120.774093,,,
Amelia County,Virginia,37.321271,-77.973865,,,
Anchorage County,Alaska,61.218056,-149.900278,https://lh4.googleusercontent.com/-pqy-lj6t2qU/VFJmt_jusbI/AAAAAAABLYk/0vCSWiButt4/s1600-w400/photo.jpg,https://lh3.googleusercontent.com/-lvh3GvZ2zjc/Ujt4gdciJGI/AAAAAAAAFy0/ECM8httkL5U/s1600-w400/photo.jpg,https://lh4.googleusercontent.com/-5xoXUZaHjzg/UH8B7ltWgkI/AAAAAAAAAOs/4he1GWnYE5I/s1600-w400/Anchorage%2BHotel%2B457.jpg
Andrew County,Missouri,39.963744,-94.810595,,,
Andrews County,Texas,32.342627,-102.713512,,,
Angelina County,Texas,31.27047,-94.645035,https://lh5.googleusercontent.com/-mTauaGtU7oI/VD1jEghJqEI/AAAAAAABIpE/9Fn78neRn4k/s1600-w400/photo.jpg,https://lh5.googleusercontent.com/-wWksgiEbd8A/VD1jJs51CoI/AAAAAAABIp0/R9SGNj_PzrQ/s1600-w400/photo.jpg,https://lh5.googleusercontent.com/-fpO--NV9LVE/U8XzqwjA09I/AAAAAAAA43A/NDorTetIbpY/s1600-w400/photo.jpg
Anson County,North Carolina,34.905473,-80.187507,,,
Antelope County,Nebraska,42.190245,-98.046518,,,
Antrim County,Michigan,44.973044,-85.176909,,,
Appanoose County,Iowa,40.68061,-92.857711,,,
Aransas County,Texas,28.076126,-96.963862,,,
Archer County,Texas,33.576151,-98.748117,,,
Arenac County,Michigan,43.997336,-83.677393,,,
Arkansas County,Arkansas,34.235414,-91.289104,,,
Ashe County,North Carolina,36.433967,-81.471839,,,
Ashland County,Ohio,40.943559,-82.301773,,,
Ashland County,Ohio,40.903057,-82.255554,,,
Ashland County,Wisconsin,46.979497,-90.482489,,,
Ashley County,Arkansas,33.156594,-91.753882,,,
Ashtabula County,Ohio,41.939698,-80.721442,,,
Asotin County,Washington,46.146012,-117.208521,,,
Atascosa County,Texas,28.866128,-98.572102,,,
Atchison County,Missouri,40.423896,-95.477781,,,
Athens County,Ohio,39.556574,-81.721808,,,
Atkinson County,Georgia,31.293216,-82.864062,,,
Audrain County,Missouri,39.221953,-91.909924,,,
Audubon County,Iowa,41.863374,-94.7006,,,
Austin County,Texas,29.871129,-96.280086,,,
Autauga County,Alabama,36.287109,-81.735526,,,
Baca County,Colorado,37.394731,-102.529803,,,
Bacon County,Georgia,31.541209,-82.431941,,,
Bailey County,Texas,34.091306,-102.89751,,,
Baker County,Florida,30.393117,-82.301773,,,
Baker County,Oregon,44.76523,-117.67692,,,
Baldwin County,Alabama,30.601074,-87.776333,,,
Baltimore,Maryland,39.290385,-76.612189,,,
Bandera County,Texas,29.740414,-99.278558,,,
Banner County,Nebraska,41.500766,-103.636272,,,
Baraga County,Michigan,46.735276,-88.30104,,,
Barbour County,Alabama,31.81729,-85.354965,,,
Barnstable County,Massachusetts,41.699096,-70.320911,https://lh6.googleusercontent.com/-UD3M--7hbDY/VJCanSWwEBI/AAAAAAAAAAk/qC1WMONokoE/s1600-w400/LongPastureSummer2010_HillaryTruslow_Staff%2B%25281%2529.JPG,https://lh5.googleusercontent.com/-5sI-vvgMeC4/Uuk7rr0RqtI/AAAAAAAAdcw/pPLyiHw_uUk/s1600-w400/photo.jpg,https://lh5.googleusercontent.com/-aBnNk3JrpVw/Up-1DqgrYMI/AAAAAAAASMY/mqUq9iIi7o4/s1600-w400/photo.jpg
Barry County,Michigan,42.535432,-85.354965,,,
Barry County,Missouri,36.634526,-93.824824,,,
Bartholomew County,Indiana,39.206801,-85.889555,,,
Barton County,Missouri,37.474879,-94.315422,,,
Bartow County,Georgia,34.266047,-84.815078,,,
Bastrop County,Texas,30.045871,-97.351656,,,
Bates County,Missouri,38.321675,-94.315422,,,
Baxter County,Arkansas,36.326182,-92.381362,,,
Bay County,Florida,30.180531,-85.684578,,,
Bay County,Michigan,43.710973,-84.016742,,,
Ingham County,Michigan,42.646894,-84.354205,https://lh3.googleusercontent.com/-YODJsWX2oBY/UmgDgWXJJsI/AAAAAAAARio/1AYEuIDpNTo/s1600-w400/photo.jpg,https://lh3.googleusercontent.com/-FBpuRStBpYQ/VH4MUpE6IjI/AAAAAAABP9s/_jXSIic1qjc/s1600-w400/photo.jpg,https://lh6.googleusercontent.com/-1aLW5mhQy1g/VD0psyNxdWI/AAAAAAABJRs/bOO85NSTanA/s1600-w400/photo.jpg
